109
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 12 0 11 12 13 14 15 16 17 18 19 20 21 1 10 12 2147483647 14 2147483647 2147483647 2147483647 2147483647 2147483647 2 9 10 11 12 13 14 2147483647 2147483647 2147483647 2147483647 3 8 10 12 2147483647 2147483647 8 4 7 8 9 10 11 12 2147483647 2147483647 2147483647 7 6 5 6 7 8 12 2147483647 2147483647 2147483647 2147483647 8 7 6 7 8 9 10 11 12 13 14 15 16 17 9 10 12 11 10 11 12 13 13 12 11 12 13 14 14 13 12 13 14 15 15 14 13 14 15 16 16 15 14 15 16 17 
2 1 1 0 1 2 3 4 5 6 7 8 9 10 2 1 5 2147483647 7 2147483647 2147483647 2147483647 2147483647 2147483647 3 2 3 4 5 6 7 2147483647 2147483647 2147483647 2147483647 4 3 5 7 2147483647 2147483647 9 5 4 5 6 7 8 9 2147483647 2147483647 2147483647 8 7 6 5 6 7 9 2147483647 2147483647 2147483647 2147483647 9 8 7 6 7 8 9 10 11 12 13 14 15 16 8 9 11 10 9 10 11 12 12 11 10 11 12 13 13 12 11 12 13 14 14 13 12 13 14 15 15 14 13 14 15 16 
3 2 2 1 0 1 2 3 4 5 6 7 8 9 3 2 6 2147483647 8 2147483647 2147483647 2147483647 2147483647 2147483647 4 3 4 5 6 7 8 2147483647 2147483647 2147483647 2147483647 5 4 6 8 2147483647 2147483647 10 6 5 6 7 8 9 10 2147483647 2147483647 2147483647 9 8 7 6 7 8 10 2147483647 2147483647 2147483647 2147483647 10 9 8 7 8 9 10 11 12 13 14 15 16 17 9 10 12 11 10 11 12 13 13 12 11 12 13 14 14 13 12 13 14 15 15 14 13 14 15 16 16 15 14 15 16 17 
4 3 3 2 1 0 1 2 3 4 5 6 7 8 4 3 7 2147483647 9 2147483647 2147483647 2147483647 2147483647 2147483647 5 4 5 6 7 8 9 2147483647 2147483647 2147483647 2147483647 6 5 7 9 2147483647 2147483647 11 7 6 7 8 9 10 11 2147483647 2147483647 2147483647 10 9 8 7 8 9 11 2147483647 2147483647 2147483647 2147483647 11 10 9 8 9 10 11 12 13 14 15 16 17 18 10 11 13 12 11 12 13 14 14 13 12 13 14 15 15 14 13 14 15 16 16 15 14 15 16 17 17 16 15 16 17 18 
5 4 4 3 2 1 0 1 2 3 4 5 6 7 5 4 8 2147483647 10 2147483647 2147483647 2147483647 2147483647 2147483647 6 5 6 7 8 9 10 2147483647 2147483647 2147483647 2147483647 7 6 8 10 2147483647 2147483647 12 8 7 8 9 10 11 12 2147483647 2147483647 2147483647 11 10 9 8 9 10 12 2147483647 2147483647 2147483647 2147483647 12 11 10 9 10 11 12 13 14 15 16 17 18 19 11 12 14 13 12 13 14 15 15 14 13 14 15 16 16 15 14 15 16 17 17 16 15 16 17 18 18 17 16 17 18 19 
6 5 5 4 3 2 1 0 1 2 3 4 5 6 6 5 9 2147483647 11 2147483647 2147483647 2147483647 2147483647 2147483647 7 6 7 8 9 10 11 2147483647 2147483647 2147483647 2147483647 8 7 9 11 2147483647 2147483647 13 9 8 9 10 11 12 13 2147483647 2147483647 2147483647 12 11 10 9 10 11 13 2147483647 2147483647 2147483647 2147483647 13 12 11 10 11 12 13 14 15 16 17 18 19 20 12 13 15 14 13 14 15 16 16 15 14 15 16 17 17 16 15 16 17 18 18 17 16 17 18 19 19 18 17 18 19 20 
7 6 6 5 4 3 2 1 0 1 2 3 4 5 7 6 10 2147483647 12 2147483647 2147483647 2147483647 2147483647 2147483647 8 7 8 9 10 11 12 2147483647 2147483647 2147483647 2147483647 9 8 10 12 2147483647 2147483647 14 10 9 10 11 12 13 14 2147483647 2147483647 2147483647 13 12 11 10 11 12 14 2147483647 2147483647 2147483647 2147483647 14 13 12 11 12 13 14 15 16 17 18 19 20 21 13 14 16 15 14 15 16 17 17 16 15 16 17 18 18 17 16 17 18 19 19 18 17 18 19 20 20 19 18 19 20 21 
8 7 7 6 5 4 3 2 1 0 1 2 3 4 8 7 11 2147483647 13 2147483647 2147483647 2147483647 2147483647 2147483647 9 8 9 10 11 12 13 2147483647 2147483647 2147483647 2147483647 10 9 11 13 2147483647 2147483647 15 11 10 11 12 13 14 15 2147483647 2147483647 2147483647 14 13 12 11 12 13 15 2147483647 2147483647 2147483647 2147483647 15 14 13 12 13 14 15 16 17 18 19 20 21 22 14 15 17 16 15 16 17 18 18 17 16 17 18 19 19 18 17 18 19 20 20 19 18 19 20 21 21 20 19 20 21 22 
