73
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 5 1 0 1 2 3 4 21 20 19 20 5 21 20 19 18 19 7 6 7 8 17 8 7 8 9 18 17 16 15 9 8 9 10 17 16 15 14 10 9 10 11 16 15 14 13 12 11 10 11 12 17 16 15 14 12 11 12 13 14 13 12 13 14 15 14 13 14 15 14 16 15 
2147483647 4 2 1 0 1 2 3 20 19 18 19 4 20 19 18 17 18 6 5 6 7 16 7 6 7 8 17 16 15 14 8 7 8 9 16 15 14 13 9 8 9 10 15 14 13 12 11 10 9 10 11 16 15 14 13 11 10 11 12 13 12 11 12 13 14 13 12 13 14 13 15 14 
2147483647 3 3 2 1 0 1 2 19 18 17 18 3 19 18 17 16 17 5 4 5 6 15 6 5 6 7 16 15 14 13 7 6 7 8 15 14 13 12 8 7 8 9 14 13 12 11 10 9 8 9 10 15 14 13 12 10 9 10 11 12 11 10 11 12 13 12 11 12 13 12 14 13 
2147483647 2 4 3 2 1 0 1 18 17 16 17 2 18 17 16 15 16 4 3 4 5 14 5 4 5 6 15 14 13 12 6 5 6 7 14 13 12 11 7 6 7 8 13 12 11 10 9 8 7 8 9 14 13 12 11 9 8 9 10 11 10 9 10 11 12 11 10 11 12 11 13 12 
2147483647 1 17 16 17 18 19 0 17 16 15 16 1 17 16 15 14 15 3 2 3 4 13 4 3 4 5 14 13 12 11 5 4 5 6 13 12 11 10 6 5 6 7 12 11 10 9 8 7 6 7 8 13 12 11 10 8 7 8 9 10 9 8 9 10 11 10 9 10 11 10 12 11 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 7 1 2 3 4 5 6 1 0 1 2 7 3 2 1 2 3 9 8 9 10 3 10 9 10 11 6 5 4 5 11 10 11 12 7 6 5 6 10 11 12 13 8 7 6 7 8 9 10 11 12 9 8 7 8 10 11 12 13 14 11 12 13 14 15 12 13 14 13 14 14 15 
2147483647 6 2 1 2 3 4 5 2 1 0 1 6 4 3 2 1 2 8 7 8 9 2 9 8 9 10 5 4 3 4 10 9 10 11 6 5 4 5 9 10 11 12 7 6 5 6 7 8 9 10 11 8 7 6 7 9 10 11 12 13 10 11 12 13 14 11 12 13 12 13 13 14 
2147483647 5 3 2 1 2 3 4 21 20 19 0 5 21 20 19 18 1 7 6 7 8 17 8 7 8 9 18 17 16 15 9 8 9 10 17 16 15 14 10 9 10 11 16 15 14 13 12 11 10 11 12 17 16 15 14 12 11 12 13 14 13 12 13 14 15 14 13 14 15 14 16 15 
2147483647 2 16 15 16 17 18 1 16 15 14 15 0 16 15 14 13 14 2 1 2 3 12 3 2 3 4 13 12 11 10 4 3 4 5 12 11 10 9 5 4 5 6 11 10 9 8 7 6 5 6 7 12 11 10 9 7 6 7 8 9 8 7 8 9 10 9 8 9 10 9 11 10 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 9 5 4 5 6 7 8 5 4 3 4 9 1 0 1 2 3 11 10 11 12 3 12 11 12 13 6 5 4 5 11 12 13 14 7 6 5 6 10 11 12 13 8 7 6 7 8 9 10 11 12 9 8 7 8 10 11 12 13 14 11 12 13 14 15 12 13 14 13 14 14 15 
