85
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
8 9 1 0 1 2 3 4 5 6 7 8 9 2147483647 2147483647 23 22 9 8 9 18 19 20 2147483647 22 21 20 21 22 23 10 10 17 18 19 2147483647 21 20 19 20 21 22 11 11 16 15 16 17 18 2147483647 2147483647 20 18 12 13 12 13 14 15 16 17 21 20 19 18 17 16 15 14 13 14 15 16 17 18 20 19 18 17 16 15 14 15 21 20 
7 8 2 1 0 1 2 3 4 5 6 7 8 2147483647 2147483647 22 21 8 7 8 17 18 19 2147483647 21 20 19 20 21 22 9 9 16 17 18 2147483647 20 19 18 19 20 21 10 10 15 14 15 16 17 2147483647 2147483647 19 17 11 12 11 12 13 14 15 16 20 19 18 17 16 15 14 13 12 13 14 15 16 17 19 18 17 16 15 14 13 14 20 19 
6 7 3 2 1 0 1 2 3 4 5 6 7 2147483647 2147483647 21 20 7 6 7 16 17 18 2147483647 20 19 18 19 20 21 8 8 15 16 17 2147483647 19 18 17 18 19 20 9 9 14 13 14 15 16 2147483647 2147483647 18 16 10 11 10 11 12 13 14 15 19 18 17 16 15 14 13 12 11 12 13 14 15 16 18 17 16 15 14 13 12 13 19 18 
5 6 4 3 2 1 0 1 2 3 4 5 6 2147483647 2147483647 20 19 6 5 6 15 16 17 2147483647 19 18 17 18 19 20 7 7 14 15 16 2147483647 18 17 16 17 18 19 8 8 13 12 13 14 15 2147483647 2147483647 17 15 9 10 9 10 11 12 13 14 18 17 16 15 14 13 12 11 10 11 12 13 14 15 17 16 15 14 13 12 11 12 18 17 
4 5 5 4 3 2 1 0 1 2 3 4 5 2147483647 2147483647 19 18 5 4 5 14 15 16 2147483647 18 17 16 17 18 19 6 6 13 14 15 2147483647 17 16 15 16 17 18 7 7 12 11 12 13 14 2147483647 2147483647 16 14 8 9 8 9 10 11 12 13 17 16 15 14 13 12 11 10 9 10 11 12 13 14 16 15 14 13 12 11 10 11 17 16 
3 4 6 5 4 3 2 1 0 1 2 3 4 2147483647 2147483647 18 17 4 3 4 13 14 15 2147483647 17 16 15 16 17 18 5 5 12 13 14 2147483647 16 15 14 15 16 17 6 6 11 10 11 12 13 2147483647 2147483647 15 13 7 8 7 8 9 10 11 12 16 15 14 13 12 11 10 9 8 9 10 11 12 13 15 14 13 12 11 10 9 10 16 15 
2 3 7 6 5 4 3 2 1 0 1 2 3 2147483647 2147483647 17 16 3 2 3 12 13 14 2147483647 16 15 14 15 16 17 4 4 11 12 13 2147483647 15 14 13 14 15 16 5 5 10 9 10 11 12 2147483647 2147483647 14 12 6 7 6 7 8 9 10 11 15 14 13 12 11 10 9 8 7 8 9 10 11 12 14 13 12 11 10 9 8 9 15 14 
