95
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 0 1 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 2147483647 2147483647 0 2147483647 1 2147483647 2147483647 2147483647 2147483647 2147483647 19 20 2 2147483647 2147483647 2147483647 18 24 23 24 3 24 17 18 19 20 21 22 23 4 16 2147483647 27 23 24 5 8 15 26 25 24 25 26 27 28 7 6 7 13 12 13 14 15 27 26 33 8 7 8 9 10 11 12 13 14 28 28 27 28 32 12 13 29 30 29 28 29 30 31 30 30 29 30 32 31 31 33 32 35 34 33 32 33 34 
5 2147483647 1 4 0 3 2 1 2 3 4 5 6 4 2147483647 2 2147483647 20 26 25 26 5 26 19 20 21 22 23 24 25 6 18 2147483647 29 25 26 7 10 17 28 27 26 27 28 29 30 9 8 9 15 14 15 16 17 29 28 35 10 9 10 11 12 13 14 15 16 30 30 29 30 34 14 15 31 32 31 30 31 32 33 32 32 31 32 34 33 33 35 34 37 36 35 34 35 36 
2 2147483647 2147483647 1 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 18 19 1 2147483647 2147483647 2147483647 17 23 22 23 2 23 16 17 18 19 20 21 22 3 15 2147483647 26 22 23 4 7 14 25 24 23 24 25 26 27 6 5 6 12 11 12 13 14 26 25 32 7 6 7 8 9 10 11 12 13 27 27 26 27 31 11 12 28 29 28 27 28 29 30 29 29 28 29 31 30 30 32 31 34 33 32 31 32 33 
3 2147483647 3 2 2 1 0 1 2 3 4 5 6 2 2147483647 2 2147483647 18 24 23 24 3 24 17 18 19 20 21 22 23 4 16 2147483647 27 23 24 5 8 15 26 25 24 25 26 27 28 7 6 7 13 12 13 14 15 27 26 33 8 7 8 9 10 11 12 13 14 28 28 27 28 32 12 13 29 30 29 28 29 30 31 30 30 29 30 32 31 31 33 32 35 34 33 32 33 34 
4 2147483647 2 3 1 2 1 0 1 2 3 4 5 3 2147483647 1 2147483647 19 25 24 25 4 25 18 19 20 21 22 23 24 5 17 2147483647 28 24 25 6 9 16 27 26 25 26 27 28 29 8 7 8 14 13 14 15 16 28 27 34 9 8 9 10 11 12 13 14 15 29 29 28 29 33 13 14 30 31 30 29 30 31 32 31 31 30 31 33 32 32 34 33 36 35 34 33 34 35 
5 2147483647 3 4 2 3 2 1 0 1 2 3 4 4 2147483647 2 2147483647 20 26 25 26 5 26 19 20 21 22 23 24 25 6 18 2147483647 29 25 26 7 10 17 28 27 26 27 28 29 30 9 8 9 15 14 15 16 17 29 28 35 10 9 10 11 12 13 14 15 16 30 30 29 30 34 14 15 31 32 31 30 31 32 33 32 32 31 32 34 33 33 35 34 37 36 35 34 35 36 
6 2147483647 4 5 3 4 3 2 1 0 1 2 3 5 2147483647 3 2147483647 21 27 26 27 6 27 20 21 22 23 24 25 26 7 19 2147483647 30 26 27 8 11 18 29 28 27 28 29 30 31 10 9 10 16 15 16 17 18 30 29 36 11 10 11 12 13 14 15 16 17 31 31 30 31 35 15 16 32 33 32 31 32 33 34 33 33 32 33 35 34 34 36 35 38 37 36 35 36 37 
7 2147483647 5 6 4 5 4 3 2 1 0 1 2 6 2147483647 4 2147483647 22 28 27 28 7 28 21 22 23 24 25 26 27 8 20 2147483647 31 27 28 9 12 19 30 29 28 29 30 31 32 11 10 11 17 16 17 18 19 31 30 37 12 11 12 13 14 15 16 17 18 32 32 31 32 36 16 17 33 34 33 32 33 34 35 34 34 33 34 36 35 35 37 36 39 38 37 36 37 38 
