71
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 0 1 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 2147483647 2147483647 0 2147483647 21 22 1 22 21 20 19 20 21 2 18 21 22 13 12 11 10 9 10 3 14 15 16 17 12 11 10 9 8 7 6 5 4 13 14 15 16 13 12 11 10 9 10 5 14 15 16 17 18 6 15 16 17 18 7 16 17 18 19 20 18 2147483647 19 2147483647 2147483647 2147483647 
5 2147483647 1 4 0 5 6 3 2 1 2 3 4 5 4 6 5 6 15 14 13 12 11 12 5 16 17 18 7 14 13 12 11 10 9 8 7 6 15 16 17 8 15 14 13 12 11 12 7 16 15 16 9 10 8 15 14 15 10 9 14 13 12 11 12 14 2147483647 15 2147483647 2147483647 2147483647 
2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2 2147483647 2147483647 1 2147483647 20 21 0 21 20 19 18 19 20 1 17 20 21 12 11 10 9 8 9 2 13 14 15 16 11 10 9 8 7 6 5 4 3 12 13 14 15 12 11 10 9 8 9 4 13 14 15 16 17 5 14 15 16 17 6 15 16 17 18 19 17 2147483647 18 2147483647 2147483647 2147483647 
3 2147483647 2147483647 2 2147483647 5 6 1 0 1 2 3 4 5 2 6 5 6 13 12 11 10 9 10 3 14 15 16 7 12 11 10 9 8 7 6 5 4 13 14 15 8 13 12 11 10 9 10 5 14 15 16 9 10 6 15 14 15 10 7 14 13 12 11 12 14 2147483647 15 2147483647 2147483647 2147483647 
4 2147483647 2147483647 3 2147483647 4 5 2 1 0 1 2 3 4 3 5 4 5 14 13 12 11 10 11 4 15 16 17 6 13 12 11 10 9 8 7 6 5 14 15 16 7 14 13 12 11 10 11 6 15 14 15 8 9 7 14 13 14 9 8 13 12 11 10 11 13 2147483647 14 2147483647 2147483647 2147483647 
