56
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 0 1 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
1 2147483647 2147483647 0 2147483647 2147483647 1 2147483647 2147483647 4 3 2 3 4 5 2147483647 3 2147483647 2147483647 2147483647 2147483647 4 2147483647 17 16 17 18 9 8 7 6 5 6 7 8 9 10 11 12 13 14 15 16 17 6 2147483647 2147483647 17 16 17 18 7 2147483647 2147483647 2147483647 2147483647 
2 1 2 1 0 1 2 1 2 5 4 3 2 3 4 2147483647 4 2147483647 2147483647 2147483647 2147483647 5 2147483647 18 17 18 19 10 9 8 7 6 7 8 9 10 11 12 13 14 15 16 17 18 7 2147483647 2147483647 18 17 18 19 8 2147483647 2147483647 2147483647 2147483647 
7 2147483647 1 6 2147483647 0 5 2147483647 1 6 5 4 3 2 3 2147483647 5 2147483647 2147483647 2147483647 2147483647 6 2147483647 19 18 19 20 11 10 9 8 7 8 9 10 11 12 13 14 15 16 17 18 19 8 2147483647 2147483647 19 18 19 20 9 2147483647 2147483647 2147483647 2147483647 
2 2147483647 2147483647 1 2147483647 2147483647 0 2147483647 2147483647 3 2 1 2 3 4 2147483647 2 2147483647 2147483647 2147483647 2147483647 3 2147483647 16 15 16 17 8 7 6 5 4 5 6 7 8 9 10 11 12 13 14 15 16 5 2147483647 2147483647 16 15 16 17 6 2147483647 2147483647 2147483647 2147483647 
3 2 3 2 1 2 1 0 1 4 3 2 1 2 3 2147483647 3 2147483647 2147483647 2147483647 2147483647 4 2147483647 17 16 17 18 9 8 7 6 5 6 7 8 9 10 11 12 13 14 15 16 17 6 2147483647 2147483647 17 16 17 18 7 2147483647 2147483647 2147483647 2147483647 
6 2147483647 2 5 2147483647 1 4 2147483647 0 5 4 3 2 1 2 2147483647 4 2147483647 2147483647 2147483647 2147483647 5 2147483647 18 17 18 19 10 9 8 7 6 7 8 9 10 11 12 13 14 15 16 17 18 7 2147483647 2147483647 18 17 18 19 8 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
4 2147483647 2147483647 3 2147483647 2147483647 2 2147483647 2147483647 1 0 1 2 3 4 2147483647 2 2147483647 2147483647 2147483647 2147483647 3 2147483647 16 15 16 17 8 7 6 5 4 5 6 7 8 9 10 11 12 13 14 15 16 5 2147483647 2147483647 16 15 16 17 6 2147483647 2147483647 2147483647 2147483647 
3 2147483647 2147483647 2 2147483647 2147483647 1 2147483647 2147483647 2 1 0 1 2 3 2147483647 1 2147483647 2147483647 2147483647 2147483647 2 2147483647 15 14 15 16 7 6 5 4 3 4 5 6 7 8 9 10 11 12 13 14 15 4 2147483647 2147483647 15 14 15 16 5 2147483647 2147483647 2147483647 2147483647 
4 2147483647 2147483647 3 2147483647 2147483647 2 2147483647 2147483647 3 2 1 0 1 2 2147483647 2 2147483647 2147483647 2147483647 2147483647 3 2147483647 16 15 16 17 8 7 6 5 4 5 6 7 8 9 10 11 12 13 14 15 16 5 2147483647 2147483647 16 15 16 17 6 2147483647 2147483647 2147483647 2147483647 
5 2147483647 2147483647 4 2147483647 2147483647 3 2147483647 2147483647 4 3 2 1 0 1 2147483647 3 2147483647 2147483647 2147483647 2147483647 4 2147483647 17 16 17 18 9 8 7 6 5 6 7 8 9 10 11 12 13 14 15 16 17 6 2147483647 2147483647 17 16 17 18 7 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
10 2147483647 2147483647 9 2147483647 2147483647 8 2147483647 2147483647 1 8 7 8 9 10 0 6 2147483647 2147483647 2147483647 1 5 2147483647 16 15 16 17 4 3 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 5 2147483647 2147483647 16 15 16 17 6 2147483647 2147483647 2147483647 2147483647 
4 2147483647 2147483647 3 2147483647 2147483647 2 2147483647 2147483647 3 2 1 2 3 4 2147483647 0 2147483647 2147483647 2147483647 2147483647 1 2147483647 14 13 14 15 6 5 4 3 2 3 4 5 6 7 8 9 10 11 12 13 14 3 2147483647 2147483647 14 13 14 15 4 2147483647 2147483647 2147483647 2147483647 
