49
0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
6 7 1 0 1 2 3 4 5 6 24 23 24 23 6 7 22 22 23 24 8 21 22 21 22 23 24 9 20 20 23 24 10 19 18 19 25 11 2147483647 18 17 16 15 14 13 12 13 19 18 
5 6 2 1 0 1 2 3 4 5 23 22 23 22 5 6 21 21 22 23 7 20 21 20 21 22 23 8 19 19 22 23 9 18 17 18 24 10 2147483647 17 16 15 14 13 12 11 12 18 17 
4 5 3 2 1 0 1 2 3 4 22 21 22 21 4 5 20 20 21 22 6 19 20 19 20 21 22 7 18 18 21 22 8 17 16 17 23 9 2147483647 16 15 14 13 12 11 10 11 17 16 
3 4 4 3 2 1 0 1 2 3 21 20 21 20 3 4 19 19 20 21 5 18 19 18 19 20 21 6 17 17 20 21 7 16 15 16 22 8 2147483647 15 14 13 12 11 10 9 10 16 15 
2 3 5 4 3 2 1 0 1 2 20 19 20 19 2 3 18 18 19 20 4 17 18 17 18 19 20 5 16 16 19 20 6 15 14 15 21 7 2147483647 14 13 12 11 10 9 8 9 15 14 
1 2 6 5 4 3 2 1 0 1 19 18 19 18 1 2 17 17 18 19 3 16 17 16 17 18 19 4 15 15 18 19 5 14 13 14 20 6 2147483647 13 12 11 10 9 8 7 8 14 13 
22 1 19 18 19 18 19 20 21 0 18 17 18 17 22 1 16 16 17 18 2 15 16 15 16 17 18 3 14 14 17 18 4 13 12 13 19 5 2147483647 12 11 10 9 8 7 6 7 13 12 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
7 8 2 1 2 3 4 5 6 7 1 0 1 2 7 8 1 3 6 7 9 2 5 4 5 6 7 8 3 5 6 7 9 4 9 6 8 10 2147483647 5 8 7 8 9 10 11 12 6 9 
6 7 3 2 3 2 3 4 5 6 2 1 0 1 6 7 2 2 5 6 8 3 4 3 4 5 6 7 4 4 5 6 8 5 8 5 7 9 2147483647 6 7 6 7 8 9 10 11 7 8 
5 6 4 3 2 1 2 3 4 5 7 6 7 0 5 6 5 1 4 5 7 4 3 2 3 4 5 6 5 3 4 5 7 6 7 4 6 8 2147483647 7 6 5 6 7 8 9 10 8 7 
2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 
21 2 18 17 18 17 18 19 20 1 17 16 17 16 21 0 15 15 16 17 1 14 15 14 15 16 17 2 13 13 16 17 3 12 11 12 18 4 2147483647 11 10 9 8 7 6 5 6 12 11 
8 9 3 2 3 4 5 6 7 8 2 1 2 3 8 9 0 4 7 8 10 1 6 5 6 7 8 9 2 6 7 8 10 3 10 7 9 11 2147483647 4 9 8 9 10 11 12 13 5 10 
6 7 5 4 3 2 3 4 5 6 6 5 6 1 6 7 4 0 3 4 6 3 2 1 2 3 4 5 4 2 3 4 6 5 6 3 5 7 2147483647 6 5 4 5 6 7 8 9 7 6 
7 8 6 5 4 3 4 5 6 7 7 6 7 2 7 8 5 1 0 1 7 4 3 2 3 4 5 6 5 3 4 5 7 6 7 4 6 8 2147483647 7 6 5 6 7 8 9 10 8 7 
